column 1,Characterization,Product,Pathways of gene,GO terms (biological process),GO terms (cellular component),GO terms (molecular function)
glf,PARTIAL,UDP-galactopyranose mutase,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>),lipopolysaccharide biosynthetic process,cytosol,protein homodimerization activity // protein binding // isomerase activity // flavin adenine dinucleotide binding // UDP-galactopyranose mutase activity
gltB,WELL-CHARACTERIZED,glutamate synthase subunit GltB,L-glutamine degradation I // ammonia assimilation cycle III // L-glutamate biosynthesis I,ammonia assimilation cycle // L-glutamate biosynthetic process // glutamine metabolic process // glutamate biosynthetic process,glutamate synthase complex (NADPH) // cytosol,"oxidoreductase activity // glutamate synthase activity // 3 iron, 4 sulfur cluster binding // metal ion binding // protein binding // glutamate dehydrogenase (NADP+) activity // glutamate synthase (NADPH) activity"
gltT,WELL-CHARACTERIZED,tRNA-Glu(UUC),polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,,cytosol // cytoplasm,triplet codon-amino acid adaptor activity
gltW,WELL-CHARACTERIZED,tRNA-Glu(UUC),polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,,cytosol // cytoplasm,triplet codon-amino acid adaptor activity
gntP,WELL-CHARACTERIZED,fructuronate transporter,,carbohydrate transmembrane transport // proton transmembrane transport // D-gluconate catabolic process // D-gluconate metabolic process // gluconate transmembrane transport,plasma membrane // membrane,carbohydrate:proton symporter activity // gluconate transmembrane transporter activity
gph,WELL-CHARACTERIZED,phosphoglycolate phosphatase,,glycolate biosynthetic process // carbohydrate metabolic process // dephosphorylation // DNA repair,cytosol,catalytic activity // metal ion binding // hydrolase activity // chloride ion binding // magnesium ion binding // phosphoglycolate phosphatase activity
gpr,WELL-CHARACTERIZED,L-glyceraldehyde 3-phosphate reductase,superpathway of methylglyoxal degradation // methylglyoxal degradation III,DNA damage response // methylglyoxal catabolic process,cytosol,"oxidoreductase activity // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
gpsA,WELL-CHARACTERIZED,glycerol-3-phosphate dehydrogenase,superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // CDP-diacylglycerol biosynthesis II // CDP-diacylglycerol biosynthesis I,glycerol-3-phosphate biosynthetic process // phospholipid biosynthetic process // glycerophospholipid metabolic process // glycerol-3-phosphate catabolic process // glycerol-3-phosphate metabolic process // carbohydrate metabolic process // glycerophospholipid biosynthetic process,cytoplasm // cytosol,"glycerol-3-phosphate dehydrogenase (NADP+) activity // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // NAD binding // protein homodimerization activity // glycerol-3-phosphate dehydrogenase [NAD(P)+] activity"
gyrA,WELL-CHARACTERIZED,DNA gyrase subunit A,,chromosome organization // response to xenobiotic stimulus // negative regulation of DNA-templated DNA replication // DNA-templated DNA replication // DNA topological change // response to antibiotic // DNA-templated transcription,"membrane // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex // chromosome // cytoplasm // cytosol","DNA negative supercoiling activity // DNA topoisomerase activity // identical protein binding // protein binding // ATP-dependent activity, acting on DNA // ATP binding // DNA binding // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
htrL,UNCHARACTERIZED,protein HtrL,,,cytosol,
hyfF,PARTIAL,hydrogenase 4 component F,,anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // DNA damage response,formate dehydrogenase complex // membrane // [Ni-Fe] hydrogenase complex // plasma membrane,oxidoreductase activity
hypE,WELL-CHARACTERIZED,HypE-S-carboxamide // carbamoyl dehydratase HypE,NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis,protein-containing complex assembly // peptidyl-S-carbamoyl-L-cysteine dehydration // protein maturation,ATPase complex // cytosol,lyase activity // protein binding
idi,WELL-CHARACTERIZED,isopentenyl-diphosphate &Delta;-isomerase,methylerythritol phosphate pathway I,dimethylallyl diphosphate biosynthetic process // DNA damage response // isoprenoid biosynthetic process,cytoplasm // cytosol,catalytic activity // isomerase activity // metal ion binding // magnesium ion binding // zinc ion binding // isopentenyl-diphosphate delta-isomerase activity
insI1,WELL-CHARACTERIZED,IS30 transposase,,transposition // DNA recombination // DNA integration // DNA transposition,cytosol // protein-DNA complex,DNA binding // transposase activity // sequence-specific DNA binding // DNA insertion or deletion binding
insI3,PARTIAL,KpLE2 phage-like element; IS30 transposase,,DNA integration // DNA transposition // transposition // DNA recombination,cytosol,transposase activity // DNA binding
intA,WELL-CHARACTERIZED,CP4-57 prophage; integrase IntA,,viral genome integration into host DNA // symbiont entry into host cell // establishment of integrated proviral latency // DNA integration // DNA recombination // provirus excision,cytosol,DNA binding // protein binding // prophage integrase activity
efeU,,inactive ferrous iron permease EfeU,,iron ion transmembrane transport,high-affinity iron permease complex // plasma membrane,ferrous iron transmembrane transporter activity // iron ion transmembrane transporter activity
