column 1,"Gene products (complexes, polypeptides, and RNAs)",GO terms (biological process),Pathways of gene,Binding sites upstream of gene
acnB,bifunctional aconitate hydratase B/2-methylisocitrate dehydratase,"glyoxylate cycle // tricarboxylic acid cycle // regulation of translation // propionate catabolic process, 2-methylcitrate cycle","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation // 2-methylcitrate cycle I",ArcA-Pasp54 DNA-binding-site 48 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 57 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 119 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 113 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 139 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 143 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 170 bases upstream of acnBp1 // Fis DNA-binding-site 29.5 bases upstream of acnBp1 // Fis DNA-binding-site 73.5 bases upstream of acnBp1 // Fis DNA-binding-site 171.5 bases upstream of acnBp1 // Cra DNA-binding-site regulating acnBp1 // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of acnBp1
gltT,tRNA-Glu(UUC),,polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,Fis DNA-binding-site 143 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // NhaR-Na+ DNA-binding-site regulating rrsBp2 // NhaR-Na+ DNA-binding-site regulating rrsBp1 // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 143 bases upstream of rrsBp
ffh,Signal Recognition Particle,SRP-dependent cotranslational protein targeting to membrane // protein targeting to membrane,,
mntH,Mn(2+):H(+) symporter,iron ion transmembrane transport // proton transmembrane transport // cadmium ion transmembrane transport // manganese ion transport // iron ion transport // cobalt ion transport // cadmium ion transport // monoatomic ion transport // metal ion transport // manganese import into cell // cellular response to oxidative stress,,OxyR DNA-binding-site 76 bases upstream of mntHp // OxyR DNA-binding-site 54 bases upstream of mntHp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 31.5 bases upstream of mntHp // MntR DNA-binding-site 5.5 bases downstream of mntHp
ydhQ,putative adhesin-related protein YdhQ,DNA damage response,,
fliC,flagellum,,,MatA DNA-binding-site regulating fliCp // GadE DNA-binding-site regulating fliCp
rrlE,23S ribosomal RNA,translation,,Fis DNA-binding-site 170 bases upstream of rrsEp3 // Fis DNA-binding-site 143 bases upstream of rrsEp3 // Fis DNA-binding-site 117 bases upstream of rrsEp3 // Fis DNA-binding-site 101 bases upstream of rrsEp3 // Fis DNA-binding-site 72 bases upstream of rrsEp3 // NhaR-Na+ DNA-binding-site regulating rrsEp2 // NhaR-Na+ DNA-binding-site regulating rrsEp1 // Fis DNA-binding-site 72 bases upstream of rrsEp3 // Fis DNA-binding-site 101 bases upstream of rrsEp3 // Fis DNA-binding-site 117 bases upstream of rrsEp3 // Fis DNA-binding-site 143 bases upstream of rrsEp3 // Fis DNA-binding-site 170 bases upstream of rrsEp3
nadK,NAD kinase,NAD metabolic process // NADP biosynthetic process,NAD phosphorylation and dephosphorylation,
bax,putative glycoside hydrolase Bax,,,
rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",dTDP-rhamnose biosynthetic process // extracellular polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // O antigen biosynthetic process // response to UV // response to antibiotic // DNA damage response,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>) // dTDP-L-rhamnose biosynthesis,
radA,DNA recombination protein,response to radiation // DNA repair // recombinational repair,,
glf,UDP-galactopyranose mutase,lipopolysaccharide biosynthetic process,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>),
trpD,anthranilate synthase subunit TrpE // anthranilate synthase subunit TrpD,phenazine biosynthetic process // glutamine metabolic process // tryptophan biosynthetic process,L-glutamine degradation I // L-glutamate biosynthesis I // ammonia assimilation cycle III // superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis,TrpR-trp DNA-binding-site 11.5 bases upstream of trpLp // TrpR-trp DNA-binding-site 3.5 bases upstream of trpLp // TrpR-trp DNA-binding-site 19.5 bases upstream of trpLp
rrsB,16S ribosomal RNA,translation,,Fis DNA-binding-site 143 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // NhaR-Na+ DNA-binding-site regulating rrsBp2 // NhaR-Na+ DNA-binding-site regulating rrsBp1 // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 143 bases upstream of rrsBp
rtcR,DNA-binding transcriptional activator RtcR,regulation of DNA-templated transcription // phosphorelay signal transduction system // positive regulation of DNA-templated transcription,,
gabP,4-aminobutanoate:H<sup>+</sup> symporter,transmembrane transport // gamma-aminobutyric acid catabolic process // DNA damage response // amino acid transport // cellular response to nitrogen starvation // response to carbon starvation // gamma-aminobutyric acid transport,,Nac DNA-binding-site 44 bases upstream of gabDp // GlaR DNA-binding-site 32 bases upstream of csiDp // GlaR DNA-binding-site 13 bases upstream of csiDp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp // Lrp-leu DNA-binding-site regulating csiDp // H-NS DNA-binding-site regulating csiDp // Nac DNA-binding-site 44 bases upstream of gabDp
entF,seryl-[EntF peptidyl-carrier protein],secondary metabolite biosynthetic process // biosynthetic process // amino acid activation for nonribosomal peptide biosynthetic process // enterobactin biosynthetic process,superpathway of chorismate metabolism // acyl carrier protein metabolism // enterobactin biosynthesis,H-NS DNA-binding-site 0.5 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 28 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 9 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 21 bases upstream of fesp // Fnr DNA-binding-site 143.5 bases upstream of fesp
yqiI,putative fimbrial protein YqiI,cell adhesion // response to methylglyoxal,,
idi,isopentenyl-diphosphate &Delta;-isomerase,dimethylallyl diphosphate biosynthetic process // DNA damage response // isoprenoid biosynthetic process,methylerythritol phosphate pathway I,
gltW,tRNA-Glu(UUC),,polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
rrlG,23S ribosomal RNA,translation,,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
dgcQ,diguanylate cyclase DgcQ,cell adhesion involved in single-species biofilm formation // cellulose biosynthetic process // negative regulation of bacterial-type flagellum-dependent cell motility,,
rrsA,ribosome,,,Fis DNA-binding-site 133 bases upstream of rrsAp // Fis DNA-binding-site 111 bases upstream of rrsAp // Fis DNA-binding-site 91 bases upstream of rrsAp // Fis DNA-binding-site 71 bases upstream of rrsAp // Lrp-leu DNA-binding-site 53 bases upstream of rrsAp // Lrp-leu DNA-binding-site 73 bases upstream of rrsAp // NhaR-Na+ DNA-binding-site regulating rrsAp2 // NhaR-Na+ DNA-binding-site regulating rrsAp1 // Lrp-leu DNA-binding-site 73 bases upstream of rrsAp // Lrp-leu DNA-binding-site 53 bases upstream of rrsAp // Fis DNA-binding-site 71 bases upstream of rrsAp // Fis DNA-binding-site 91 bases upstream of rrsAp // Fis DNA-binding-site 111 bases upstream of rrsAp // Fis DNA-binding-site 133 bases upstream of rrsAp
ynjF,CDP-alcohol phosphatidyltransferase domain-containing protein YnjF,phospholipid biosynthetic process,,
aldA,"aldehyde dehydrogenase A, NAD-linked",gamma-aminobutyric acid catabolic process // fucose catabolic process // rhamnose catabolic process // L-fucose catabolic process,superpathway of fucose and rhamnose degradation // methylglyoxal degradation IV // superpathway of methylglyoxal degradation // L-lactaldehyde degradation (aerobic) // superpathway of glycol metabolism and degradation // ethylene glycol degradation // D-arabinose degradation II,SoxS DNA-binding-site 161 bases upstream of aldAp // Rob DNA-binding-site 161 bases upstream of aldAp // MarA DNA-binding-site 161 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 157 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 5 bases upstream of aldAp // DnaA-ATP DNA-binding-site 7.5 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 2 bases downstream of aldAp // ArcA-Pasp54 DNA-binding-site 13 bases downstream of aldAp // ArcA-Pasp54 DNA-binding-site 137 bases upstream of aldAp // Fnr DNA-binding-site 10.5 bases upstream of aldAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of aldAp
rrlD,23S ribosomal RNA,translation,,Fis DNA-binding-site 174 bases upstream of rrsDp // Fis DNA-binding-site 144 bases upstream of rrsDp // Fis DNA-binding-site 126 bases upstream of rrsDp // Fis DNA-binding-site 91 bases upstream of rrsDp // Fis DNA-binding-site 71 bases upstream of rrsDp // NhaR-Na+ DNA-binding-site regulating rrsDp2 // NhaR-Na+ DNA-binding-site regulating rrsDp1 // Fis DNA-binding-site 71 bases upstream of rrsDp // Fis DNA-binding-site 91 bases upstream of rrsDp // Fis DNA-binding-site 126 bases upstream of rrsDp // Fis DNA-binding-site 144 bases upstream of rrsDp // Fis DNA-binding-site 174 bases upstream of rrsDp
