"","from","to","weight","type","edge_color","edge_type"
"178",77,175,0.168831168831169,"topic_document","blue",NA
"179",78,175,0.168831168831169,"topic_document","blue",NA
"180",81,175,0.108108108108108,"topic_document","blue",NA
"181",82,175,0.108108108108108,"topic_document","blue",NA
"182",83,175,0.112676056338028,"topic_document","blue",NA
"183",84,175,0.112676056338028,"topic_document","blue",NA
"184",91,175,0.336734693877551,"topic_document","blue",NA
"185",92,175,0.336734693877551,"topic_document","blue",NA
"186",97,175,0.175,"topic_document","blue",NA
"187",98,175,0.175,"topic_document","blue",NA
"188",103,175,0.154929577464789,"topic_document","blue",NA
"189",104,175,0.154929577464789,"topic_document","blue",NA
"190",113,175,0.123076923076923,"topic_document","blue",NA
"191",114,175,0.123076923076923,"topic_document","blue",NA
"192",115,175,0.191176470588235,"topic_document","blue",NA
"193",116,175,0.191176470588235,"topic_document","blue",NA
"194",117,175,0.103896103896104,"topic_document","blue",NA
"195",118,175,0.103896103896104,"topic_document","blue",NA
"196",119,175,0.242105263157895,"topic_document","blue",NA
"197",120,175,0.242105263157895,"topic_document","blue",NA
"198",131,175,0.11864406779661,"topic_document","blue",NA
"199",132,175,0.11864406779661,"topic_document","blue",NA
"200",137,175,0.107142857142857,"topic_document","blue",NA
"201",138,175,0.107142857142857,"topic_document","blue",NA
"202",149,175,0.132352941176471,"topic_document","blue",NA
"203",150,175,0.132352941176471,"topic_document","blue",NA
"204",167,175,0.129032258064516,"topic_document","blue",NA
"205",168,175,0.129032258064516,"topic_document","blue",NA
"206",1,176,0.107142857142857,"topic_document","blue",NA
"207",2,176,0.107142857142857,"topic_document","blue",NA
"208",5,176,0.103896103896104,"topic_document","blue",NA
"209",6,176,0.103896103896104,"topic_document","blue",NA
"210",7,176,0.123076923076923,"topic_document","blue",NA
"211",8,176,0.123076923076923,"topic_document","blue",NA
"212",9,176,0.129032258064516,"topic_document","blue",NA
"213",10,176,0.129032258064516,"topic_document","blue",NA
"214",15,176,0.438202247191011,"topic_document","blue",NA
"215",16,176,0.438202247191011,"topic_document","blue",NA
"216",47,176,0.11864406779661,"topic_document","blue",NA
"217",48,176,0.11864406779661,"topic_document","blue",NA
"218",53,176,0.186440677966102,"topic_document","blue",NA
"219",54,176,0.186440677966102,"topic_document","blue",NA
"220",69,176,0.112903225806452,"topic_document","blue",NA
"221",70,176,0.112903225806452,"topic_document","blue",NA
"222",73,176,0.123076923076923,"topic_document","blue",NA
"223",74,176,0.123076923076923,"topic_document","blue",NA
"224",79,176,0.41304347826087,"topic_document","blue",NA
"225",80,176,0.41304347826087,"topic_document","blue",NA
"226",81,176,0.202702702702703,"topic_document","blue",NA
"227",82,176,0.202702702702703,"topic_document","blue",NA
"228",111,176,0.112676056338028,"topic_document","blue",NA
"229",112,176,0.112676056338028,"topic_document","blue",NA
"230",113,176,0.107692307692308,"topic_document","blue",NA
"231",114,176,0.107692307692308,"topic_document","blue",NA
"232",117,176,0.103896103896104,"topic_document","blue",NA
"233",118,176,0.103896103896104,"topic_document","blue",NA
"234",125,176,0.241935483870968,"topic_document","blue",NA
"235",126,176,0.241935483870968,"topic_document","blue",NA
"236",127,176,0.153846153846154,"topic_document","blue",NA
"237",128,176,0.153846153846154,"topic_document","blue",NA
"238",137,176,0.125,"topic_document","blue",NA
"239",138,176,0.125,"topic_document","blue",NA
"240",165,176,0.107142857142857,"topic_document","blue",NA
"241",166,176,0.107142857142857,"topic_document","blue",NA
"242",167,176,0.129032258064516,"topic_document","blue",NA
"243",168,176,0.129032258064516,"topic_document","blue",NA
"244",173,176,0.25,"topic_document","blue",NA
"245",174,176,0.25,"topic_document","blue",NA
"246",7,177,0.169230769230769,"topic_document","blue",NA
"247",8,177,0.169230769230769,"topic_document","blue",NA
"248",9,177,0.161290322580645,"topic_document","blue",NA
"249",10,177,0.161290322580645,"topic_document","blue",NA
"250",21,177,0.135135135135135,"topic_document","blue",NA
"251",22,177,0.135135135135135,"topic_document","blue",NA
"252",23,177,0.135593220338983,"topic_document","blue",NA
"253",24,177,0.135593220338983,"topic_document","blue",NA
"254",31,177,0.123076923076923,"topic_document","blue",NA
"255",32,177,0.123076923076923,"topic_document","blue",NA
"256",33,177,0.174418604651163,"topic_document","blue",NA
"257",34,177,0.174418604651163,"topic_document","blue",NA
"258",41,177,0.108108108108108,"topic_document","blue",NA
"259",42,177,0.108108108108108,"topic_document","blue",NA
"260",55,177,0.112676056338028,"topic_document","blue",NA
"261",56,177,0.112676056338028,"topic_document","blue",NA
"262",67,177,0.225352112676056,"topic_document","blue",NA
"263",68,177,0.225352112676056,"topic_document","blue",NA
"264",69,177,0.161290322580645,"topic_document","blue",NA
"265",70,177,0.161290322580645,"topic_document","blue",NA
"266",81,177,0.121621621621622,"topic_document","blue",NA
"267",82,177,0.121621621621622,"topic_document","blue",NA
"268",87,177,0.215384615384615,"topic_document","blue",NA
"269",88,177,0.215384615384615,"topic_document","blue",NA
"270",103,177,0.154929577464789,"topic_document","blue",NA
"271",104,177,0.154929577464789,"topic_document","blue",NA
"272",111,177,0.112676056338028,"topic_document","blue",NA
"273",112,177,0.112676056338028,"topic_document","blue",NA
"274",113,177,0.138461538461538,"topic_document","blue",NA
"275",114,177,0.138461538461538,"topic_document","blue",NA
"276",123,177,0.323529411764706,"topic_document","blue",NA
"277",124,177,0.323529411764706,"topic_document","blue",NA
"278",125,177,0.112903225806452,"topic_document","blue",NA
"279",126,177,0.112903225806452,"topic_document","blue",NA
"280",131,177,0.101694915254237,"topic_document","blue",NA
"281",132,177,0.101694915254237,"topic_document","blue",NA
"282",133,177,0.101694915254237,"topic_document","blue",NA
"283",134,177,0.101694915254237,"topic_document","blue",NA
"284",137,177,0.107142857142857,"topic_document","blue",NA
"285",138,177,0.107142857142857,"topic_document","blue",NA
"286",139,177,0.196428571428571,"topic_document","blue",NA
"287",140,177,0.196428571428571,"topic_document","blue",NA
"288",141,177,0.351351351351351,"topic_document","blue",NA
"289",142,177,0.351351351351351,"topic_document","blue",NA
"290",157,177,0.123076923076923,"topic_document","blue",NA
"291",158,177,0.123076923076923,"topic_document","blue",NA
"292",13,178,0.107692307692308,"topic_document","blue",NA
"293",14,178,0.107692307692308,"topic_document","blue",NA
"294",31,178,0.107692307692308,"topic_document","blue",NA
"295",32,178,0.107692307692308,"topic_document","blue",NA
"296",37,178,0.123076923076923,"topic_document","blue",NA
"297",38,178,0.123076923076923,"topic_document","blue",NA
"298",39,178,0.138461538461538,"topic_document","blue",NA
"299",40,178,0.138461538461538,"topic_document","blue",NA
"300",41,178,0.108108108108108,"topic_document","blue",NA
"301",42,178,0.108108108108108,"topic_document","blue",NA
"302",43,178,0.147058823529412,"topic_document","blue",NA
"303",44,178,0.147058823529412,"topic_document","blue",NA
"304",47,178,0.11864406779661,"topic_document","blue",NA
"305",48,178,0.11864406779661,"topic_document","blue",NA
"306",51,178,0.220779220779221,"topic_document","blue",NA
"307",52,178,0.220779220779221,"topic_document","blue",NA
"308",55,178,0.126760563380282,"topic_document","blue",NA
"309",56,178,0.126760563380282,"topic_document","blue",NA
"310",57,178,0.197183098591549,"topic_document","blue",NA
"311",58,178,0.197183098591549,"topic_document","blue",NA
"312",59,178,0.169230769230769,"topic_document","blue",NA
"313",60,178,0.169230769230769,"topic_document","blue",NA
"314",73,178,0.123076923076923,"topic_document","blue",NA
"315",74,178,0.123076923076923,"topic_document","blue",NA
"316",75,178,0.310810810810811,"topic_document","blue",NA
"317",76,178,0.310810810810811,"topic_document","blue",NA
"318",77,178,0.103896103896104,"topic_document","blue",NA
"319",78,178,0.103896103896104,"topic_document","blue",NA
"320",85,178,0.169230769230769,"topic_document","blue",NA
"321",86,178,0.169230769230769,"topic_document","blue",NA
"322",87,178,0.107692307692308,"topic_document","blue",NA
"323",88,178,0.107692307692308,"topic_document","blue",NA
"324",99,178,0.215384615384615,"topic_document","blue",NA
"325",100,178,0.215384615384615,"topic_document","blue",NA
"326",103,178,0.112676056338028,"topic_document","blue",NA
"327",104,178,0.112676056338028,"topic_document","blue",NA
"328",105,178,0.145161290322581,"topic_document","blue",NA
"329",106,178,0.145161290322581,"topic_document","blue",NA
"330",117,178,0.116883116883117,"topic_document","blue",NA
"331",118,178,0.116883116883117,"topic_document","blue",NA
"332",135,178,0.145161290322581,"topic_document","blue",NA
"333",136,178,0.145161290322581,"topic_document","blue",NA
"334",143,178,0.150943396226415,"topic_document","blue",NA
"335",144,178,0.150943396226415,"topic_document","blue",NA
"336",157,178,0.123076923076923,"topic_document","blue",NA
"337",158,178,0.123076923076923,"topic_document","blue",NA
"338",169,178,0.142857142857143,"topic_document","blue",NA
"339",170,178,0.142857142857143,"topic_document","blue",NA
"340",1,179,0.125,"topic_document","blue",NA
"341",2,179,0.125,"topic_document","blue",NA
"342",5,179,0.142857142857143,"topic_document","blue",NA
"343",6,179,0.142857142857143,"topic_document","blue",NA
