"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"asd",0,NA,NA,NA,NA,NA
"aslA",0,NA,NA,NA,NA,NA
"aslB",0,NA,NA,NA,NA,NA
"asmA",0,NA,NA,NA,NA,NA
"asnA",0,NA,NA,NA,NA,NA
"asnB",0,NA,NA,NA,NA,NA
"asnC",0,NA,NA,NA,NA,NA
"asnS",0,NA,NA,NA,NA,NA
"asnT",0,NA,NA,NA,NA,NA
"asnW",0,NA,NA,NA,NA,NA
"aspA",0,NA,NA,NA,NA,NA
"aspC",0,NA,NA,NA,NA,NA
"aspS",0,NA,NA,NA,NA,NA
"aspT",0,NA,NA,NA,NA,NA
"aspX",0,NA,NA,NA,NA,NA
"asr",0,NA,NA,NA,NA,NA
"astA",0,NA,NA,NA,NA,NA
"astB",0,NA,NA,NA,NA,NA
"astC",0,NA,NA,NA,NA,NA
"astD",0,NA,NA,NA,NA,NA
"astE",0,NA,NA,NA,NA,NA
"atoA",0,NA,NA,NA,NA,NA
"atoB",0,NA,NA,NA,NA,NA
"atoC",0,NA,NA,NA,NA,NA
"atoD",0,NA,NA,NA,NA,NA
"atoE",0,NA,NA,NA,NA,NA
"atoS",0,NA,NA,NA,NA,NA
"atpA",0,NA,NA,NA,NA,NA
"atpB",0,NA,NA,NA,NA,NA
"atpC",0,NA,NA,NA,NA,NA
"atpD",0,NA,NA,NA,NA,NA
"atpE",0,NA,NA,NA,NA,NA
"atpF",0,NA,NA,NA,NA,NA
"atpG",0,NA,NA,NA,NA,NA
"atpH",0,NA,NA,NA,NA,NA
"atpI",0,NA,NA,NA,NA,NA
"avtA",0,NA,NA,NA,NA,NA
"azoR",0,NA,NA,NA,NA,NA
"azuC",0,NA,NA,NA,NA,NA
"bacA",0,NA,NA,NA,NA,NA
"baeR",0,NA,NA,NA,NA,NA
"baeS",0,NA,NA,NA,NA,NA
"bamA",0,NA,NA,NA,NA,NA
"bamB",0,NA,NA,NA,NA,NA
"bamC",0,NA,NA,NA,NA,NA
"bamD",0,NA,NA,NA,NA,NA
"bamE",0,NA,NA,NA,NA,NA
"barA",0,NA,NA,NA,NA,NA
"basR",0,NA,NA,NA,NA,NA
"basS",0,NA,NA,NA,NA,NA
"bax",8.53481296559134,-5.56589898679963,1.19658032714725,-4.65150467588684,3.29521801716427e-06,7.93542298010987e-06
"baxL",0,NA,NA,NA,NA,NA
"bcp",0,NA,NA,NA,NA,NA
"bcr",0,NA,NA,NA,NA,NA
"bcsA",0,NA,NA,NA,NA,NA
"bcsB",0,NA,NA,NA,NA,NA
"bcsC",0,NA,NA,NA,NA,NA
"bcsE",0,NA,NA,NA,NA,NA
"bcsF",0,NA,NA,NA,NA,NA
"bcsG",2.71912363464339,-0.44909117876108,2.80804693604147,-0.159930082719404,0.872936150934662,0.907545954275684
"bcsQ",0,NA,NA,NA,NA,NA
"bcsZ",0,NA,NA,NA,NA,NA
"bdcA",0,NA,NA,NA,NA,NA
"bdcR",0,NA,NA,NA,NA,NA
