"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ddpA",0,NA,NA,NA,NA,NA
"ddpB",0,NA,NA,NA,NA,NA
"ddpC",0,NA,NA,NA,NA,NA
"ddpD",0,NA,NA,NA,NA,NA
"ddpF",0,NA,NA,NA,NA,NA
"ddpX",0,NA,NA,NA,NA,NA
"deaD",369.023555856194,0.132319823175441,0.0807055249277859,1.63953859780775,0.101101139005818,0.204718586160291
"decR",0,NA,NA,NA,NA,NA
"dedA",0,NA,NA,NA,NA,NA
"dedD",0,NA,NA,NA,NA,NA
"def",246.226964548535,-0.510508492567096,0.0841634518803035,-6.06567911797554,1.3139723811157e-09,7.68673842952684e-09
"degP",0,NA,NA,NA,NA,NA
"degQ",0,NA,NA,NA,NA,NA
"degS",0,NA,NA,NA,NA,NA
"deoA",0,NA,NA,NA,NA,NA
"deoB",0,NA,NA,NA,NA,NA
"deoC",0,NA,NA,NA,NA,NA
"deoD",0,NA,NA,NA,NA,NA
"deoR",0,NA,NA,NA,NA,NA
"der",0,NA,NA,NA,NA,NA
"dfp",0,NA,NA,NA,NA,NA
"dgcC",0,NA,NA,NA,NA,NA
"dgcE",0,NA,NA,NA,NA,NA
"dgcF",0,NA,NA,NA,NA,NA
"dgcI",0,NA,NA,NA,NA,NA
"dgcJ",0,NA,NA,NA,NA,NA
"dgcM",0,NA,NA,NA,NA,NA
"dgcN",0,NA,NA,NA,NA,NA
"dgcP",0,NA,NA,NA,NA,NA
"dgcQ",7.17332627782879,2.24363943791604,1.14943688875265,1.95194660957054,0.0509445437343971,0.111411432092046
"dgcT",0,NA,NA,NA,NA,NA
"dgcZ",0,NA,NA,NA,NA,NA
"dgkA",0,NA,NA,NA,NA,NA
"dgoA",0,NA,NA,NA,NA,NA
